Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q817F1	ACCD_BACCR	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD BC_4602	Bacillus cereus (strain ATCC 14579 / DSM 31 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NRRL B-3711)	289
Q9K841	ACCD_BACHD	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD BH3166	Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	282
Q65UI5	ACCA_MANSM	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA MS0768	Mannheimia succiniciproducens (strain MBEL55E)	321
B5Z2W0	ACPH_ECO5E	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH ECH74115_0484	Escherichia coli O157:H7 (strain EC4115 / EHEC)	193
P0A517	CP124_MYCBO	reviewed	Methyl-branched lipid omega-hydroxylase (EC 1.14.15.14) (Cholest-4-en-3-one C26-monooxygenase) (Cholest-4-en-3-one C26-monooxygenase [(25R)-3-oxocholest-4-en-26-oate forming]) (Cholesterol C26-monooxygenase) (Cholesterol C26-monooxygenase [(25R)-3beta-hydroxycholest-5-en-26-oate forming]) (Cytochrome P450 124) (Steroid C26-monooxygenase) (EC 1.14.15.28) (Steroid C27-monooxygenase)	cyp124 BQ2027_MB2289	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	428
B8CQJ1	ACPS_SHEPW	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS swp_3776	Shewanella piezotolerans (strain WP3 / JCM 13877)	131
A1UUE5	ACCD_BARBK	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD BARBAKC583_1351	Bartonella bacilliformis (strain ATCC 35685 / NCTC 12138 / KC583)	306
Q057R6	ACPS_BUCCC	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BCc_161	Buchnera aphidicola subsp. Cinara cedri (strain Cc)	126
Q8K9R3	ACPS_BUCAP	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BUsg_247	Buchnera aphidicola subsp. Schizaphis graminum (strain Sg)	126
B5EWT7	ACPH_SALA4	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH SeAg_B0442	Salmonella agona (strain SL483)	193
Q39I69	ACPS_BURL3	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Bcep18194_A4250	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	142
A6Q1S1	ACCA_NITSB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA NIS_0316	Nitratiruptor sp. (strain SB155-2)	311
B4SZR1	FADI_SALNS	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI SNSL254_A2578	Salmonella newport (strain SL254)	436
Q8YLL3	ACCA_NOSS1	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA alr5285	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	326
C0Q7S7	ACPH_SALPC	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH SPC_0414	Salmonella paratyphi C (strain RKS4594)	193
B2SXP7	ACCA_PARPJ	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Bphyt_2508	Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) (Burkholderia phytofirmans)	323
Q1R3U4	FABR_ECOUT	reviewed	HTH-type transcriptional repressor FabR	fabR UTI89_C4558	Escherichia coli (strain UTI89 / UPEC)	215
Q7CR41	ACPH_SALTY	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH STM0403	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	193
Q5HT08	ACPS_CAMJR	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS CJE1596	Campylobacter jejuni (strain RM1221)	115
A5N379	ACPS_CLOK5	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS CKL_3584	Clostridium kluyveri (strain ATCC 8527 / DSM 555 / NCIMB 10680)	134
A8FN84	ACPS_CAMJ8	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS C8J_1323	Campylobacter jejuni subsp. jejuni serotype O:6 (strain 81116 / NCTC 11828)	115
Q8XNP1	ACPS_CLOPE	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS CPE0291	Clostridium perfringens (strain 13 / Type A)	133
B3EGP9	ACPS_CHLL2	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Clim_2138	Chlorobium limicola (strain DSM 245 / NBRC 103803 / 6330)	126
Q46GP3	ACCA_PROMT	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA PMN2A_1865	Prochlorococcus marinus (strain NATL2A)	329
Q3IIX1	ACCA_PSEHT	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA PSHAa2014	Pseudoalteromonas haloplanktis (strain TAC 125)	319
B2U9Q0	ACCA_RALPJ	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Rpic_1010	Ralstonia pickettii (strain 12J)	322
Q72AT2	ACPS_DESVH	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS DVU_1909	Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / DSM 644 / NCIMB 8303)	124
B5ZSI8	ACCA_RHILW	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Rleg2_3599	Rhizobium leguminosarum bv. trifolii (strain WSM2304)	317
P81357	CRT_CLOPA	reviewed	Short-chain-enoyl-CoA hydratase (EC 4.2.1.150) (3-hydroxybutyryl-CoA dehydratase) (CP 24) (Crotonase) (Fragment)	crt	Clostridium pasteurianum	22
Q0STU2	ACCD_CLOPS	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD CPR_1143	Clostridium perfringens (strain SM101 / Type A)	292
A1V6C7	ACP_BURMS	reviewed	Acyl carrier protein (ACP)	acpP BMASAVP1_A2476	Burkholderia mallei (strain SAVP1)	79
C5D665	ACCD_GEOSW	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD GWCH70_2688	Geobacillus sp. (strain WCH70)	290
B3R210	ACP_CUPTR	reviewed	Acyl carrier protein (ACP)	acpP RALTA_A2069	Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CIP 107171 / LMG 19424 / R1) (Ralstonia taiwanensis (strain LMG 19424))	79
Q1QX53	ACP_CHRSD	reviewed	Acyl carrier protein (ACP)	acpP Csal_1602	Chromohalobacter salexigens (strain DSM 3043 / ATCC BAA-138 / NCIMB 13768)	77
Q2KA89	ACP_RHIEC	reviewed	Acyl carrier protein (ACP)	acpP RHE_CH01444	Rhizobium etli (strain CFN 42 / ATCC 51251)	78
Q9CHF2	ACCD_LACLA	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD LL0779 L018 L0180	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	288
Q5L0Q4	ACP_GEOKA	reviewed	Acyl carrier protein (ACP)	acpP GK1191	Geobacillus kaustophilus (strain HTA426)	77
A9VWE8	ACCD_METEP	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD Mext_4445	Methylobacterium extorquens (strain PA1) (Methylorubrum extorquens)	307
C3MBA1	ACCD_SINFN	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD NGR_c33800	Sinorhizobium fredii (strain NBRC 101917 / NGR234)	304
Q32EV4	ACP_SHIDS	reviewed	Acyl carrier protein (ACP)	acpP SDY_2056	Shigella dysenteriae serotype 1 (strain Sd197)	78
Q8CPI2	ACP_STAES	reviewed	Acyl carrier protein (ACP)	acpP SE_0907	Staphylococcus epidermidis (strain ATCC 12228)	77
A1U1S9	ACP_MARHV	reviewed	Acyl carrier protein (ACP)	acpP Maqu_1866	Marinobacter hydrocarbonoclasticus (strain ATCC 700491 / DSM 11845 / VT8)	77
Q5M5R2	ACCD_STRT2	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD stu0392	Streptococcus thermophilus (strain ATCC BAA-250 / LMG 18311)	288
Q4L7V6	ACPS_STAHJ	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS SH0960	Staphylococcus haemolyticus (strain JCSC1435)	119
A2C556	ACP_PROM1	reviewed	Acyl carrier protein (ACP)	acpP NATL1_20601	Prochlorococcus marinus (strain NATL1A)	80
Q01RT7	ACPS_SOLUE	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Acid_6712	Solibacter usitatus (strain Ellin6076)	125
Q97DB2	ACCA_CLOAB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA CA_C3568	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)	274
Q0AF73	ACPS_NITEC	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Neut_1775	Nitrosomonas eutropha (strain DSM 101675 / C91)	125
A9R380	ACCA_YERPG	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA YpAngola_A3419	Yersinia pestis bv. Antiqua (strain Angola)	319
A5FVX4	ACPS_ACICJ	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Acry_0532	Acidiphilium cryptum (strain JF-5)	134
A1WAW0	ACPS_ACISJ	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Ajs_3262	Acidovorax sp. (strain JS42)	130
A7MS74	ACCD1_VIBCB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta 1 (ACCase subunit beta 1) (Acetyl-CoA carboxylase carboxyltransferase subunit beta 1) (EC 2.1.3.15)	accD1 VIBHAR_03100	Vibrio campbellii (strain ATCC BAA-1116 / BB120)	308
Q8Y0H7	ACPS_RALSO	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS RSc1067 RS04136	Ralstonia solanacearum (strain GMI1000) (Pseudomonas solanacearum)	138
C4Z8P1	ACCDA_AGARV	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunits beta/alpha (ACCase subunits beta/alpha) (Acetyl-CoA carboxylase carboxyltransferase subunits beta/alpha) (EC 2.1.3.15)	accD accA accDA EUBREC_3141	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale)	589
Q87I11	ACCD2_VIBPA	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta 2 (ACCase subunit beta 2) (Acetyl-CoA carboxylase carboxyltransferase subunit beta 2) (EC 2.1.3.15)	accD2 VPA0795	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	289
Q8RG99	ACCA_FUSNN	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA FN0409	Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / CIP 101130 / JCM 8532 / LMG 13131)	313
A8EWF1	ACP_ARCB4	reviewed	Acyl carrier protein (ACP)	acpP Abu_2057	Arcobacter butzleri (strain RM4018)	76
B3H2H3	ACCA_ACTP7	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA APP7_1546	Actinobacillus pleuropneumoniae serotype 7 (strain AP76)	317
Q2IHZ3	ACPS_ANADE	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Adeh_1501	Anaeromyxobacter dehalogenans (strain 2CP-C)	128
Q0VQE1	ACCA_ALCBS	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA ABO_1159	Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2)	323
A4WVP7	ACPS_RHOS5	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Rsph17025_2573	Rhodobacter sphaeroides (strain ATCC 17025 / ATH 2.4.3)	137
A4IRQ6	ACCA_GEOTN	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA GTNG_2665	Geobacillus thermodenitrificans (strain NG80-2)	325
A9NFE8	ACCD_ACHLI	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD ACL_0459	Acholeplasma laidlawii (strain PG-8A)	292
B7JLE6	ACPS_BACC0	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BCAH820_0262	Bacillus cereus (strain AH820)	119
B0BYC4	ACPS_RICRO	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS RrIowa_1048	Rickettsia rickettsii (strain Iowa)	131
B9JG45	ACCD_AGRRK	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD Arad_0030	Agrobacterium radiobacter (strain K84 / ATCC BAA-868)	303
C1EU95	ACPS_BACC3	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BCA_0287	Bacillus cereus (strain 03BB102)	119
P0A6B3	ACP1_SHIFL	reviewed	Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)	acpP SF1098 S1178	Shigella flexneri	78
A7GKE4	ACPS_BACCN	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Bcer98_0236	Bacillus cytotoxicus (strain DSM 22905 / CIP 110041 / 391-98 / NVH 391-98)	119
Q5LNK3	ACPS_RUEPO	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS SPO3200	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3) (Silicibacter pomeroyi)	148
O25283	ACCA_HELPY	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA HP_0557	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	312
B0UUD1	ACCA_HISS2	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA HSM_1410	Histophilus somni (strain 2336) (Haemophilus somnus)	317
B5FRC1	ACPS_SALDC	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS SeD_A2955	Salmonella dublin (strain CT_02021853)	126
Q3MGS5	ACCD_ANAVT	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD Ava_0185	Anabaena variabilis (strain ATCC 29413 / PCC 7937)	316
B4T1F4	ACPS_SALNS	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS SNSL254_A2780	Salmonella newport (strain SL254)	126
A4XBI2	ACPS_SALTO	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Strop_3859	Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / CNB-440)	122
B2IKU6	ACCA_BEII9	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Bind_2918	Beijerinckia indica subsp. indica (strain ATCC 9039 / DSM 1715 / NCIB 8712)	317
Q7WLK8	ACCA_BORBR	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA BB1737	Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) (Alcaligenes bronchisepticus)	321
A1S3Y5	ACPS_SHEAM	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Sama_0884	Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)	125
Q97HJ4	ACPH_CLOAB	reviewed	Acyl carrier protein homolog (ACP)	CA_C2017	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)	103
B7HFB5	ACCD_BACC4	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD BCB4264_A4711	Bacillus cereus (strain B4264)	289
C4ZTG1	ACPH_ECOBW	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH BWG_0286	Escherichia coli (strain K12 / MC4100 / BW2952)	193
B1XEZ2	ACPH_ECODH	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH ECDH10B_0360	Escherichia coli (strain K12 / DH10B)	193
Q0TKN7	ACPH_ECOL5	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH ECP_0463	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	193
B7NJ98	ACPH_ECO7I	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH ECIAI39_0277	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	193
Q8FKC6	ACPH_ECOL6	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH c0514	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	193
Q7VRR2	ACPS_BLOFL	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Bfl538	Blochmannia floridanus	125
Q492D3	ACPS_BLOPB	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BPEN_558	Blochmannia pennsylvanicus (strain BPEN)	125
C0RFS3	ACCA_BRUMB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA BMEA_A2092	Brucella melitensis biotype 2 (strain ATCC 23457)	317
A1TZ44	ACCA_MARHV	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Maqu_0917	Marinobacter hydrocarbonoclasticus (strain ATCC 700491 / DSM 11845 / VT8)	317
Q5WEF4	ACCD_BACSK	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD ABC2721	Bacillus clausii (strain KSM-K16)	280
Q0SPF4	ACPS_BORAP	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BAPKO_0009 BafPKo_0010	Borrelia afzelii (strain PKo)	124
B1J045	ACPH_ECOLC	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH EcolC_3229	Escherichia coli (strain ATCC 8739 / DSM 1576 / Crooks)	193
A4W777	ACPH_ENT38	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH Ent638_0873	Enterobacter sp. (strain 638)	193
B0UBU9	ACCA_METS4	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA M446_4796	Methylobacterium sp. (strain 4-46)	317
Q8FY57	ACCA_BRUSU	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA BR2032 BS1330_I2026	Brucella suis biovar 1 (strain 1330)	317
O51043	ACPS_BORBU	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BB_0010	Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680)	124
B1JUK6	ACCA_BURCC	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Bcenmc03_2095	Burkholderia cenocepacia (strain MC0-3)	323
A6T5D6	ACPH_KLEP7	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH KPN78578_03460 KPN_00355	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	193
A9AHN8	ACCA_BURM1	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Bmul_1205 BMULJ_02050	Burkholderia multivorans (strain ATCC 17616 / 249)	323
P75378	ACPH_MYCPN	reviewed	Acyl carrier protein homolog (ACP)	MPN_406 MP432	Mycoplasma pneumoniae (strain ATCC 29342 / M129)	84
Q0HSJ5	ACPS_SHESR	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Shewmr7_2926	Shewanella sp. (strain MR-7)	127
B2SAD7	ACPS_BRUA1	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BAbS19_I06360	Brucella abortus (strain S19)	134
C0RI01	ACPS_BRUMB	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BMEA_A0696	Brucella melitensis biotype 2 (strain ATCC 23457)	134
A5VPJ6	ACPS_BRUO2	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BOV_0652	Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512)	134
A0K5W3	ACPS_BURCH	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Bcen2424_1138	Burkholderia cenocepacia (strain HI2424)	148
